,code,name,opening_year,latitude,longitude,avg_price
0,,Brickland,2030,1.3697,103.7479,26.897787629635808
1,,Sungei Kadut,2030,1.4133,103.7488,22.985643115054877
2,,Punggol Coast,2024,1.41528,103.91111,34.25032375032375
3,,Bukit Brown,TBA,1.333639,103.830075,
4,,Keppel,2026,1.2701,103.831,32.57183547990863
5,,Cantonment,2026,1.272814,103.836659,39.59982041859032
6,,Prince Edward Road,2026,1.273254,103.847298,41.70503831549787
7,,Sungei Kadut,2030,1.4133,103.7488,22.985643115054877
8,,Hume,2025,1.35465,103.76904,
9,,Xilin,2025,1.3289,103.9649,
10,,Sungei Bedok,2025,1.32031,103.95709,
11,,Mount Pleasant,TBA,1.3287,103.8356,31.18265302020628
12,,Marina South,TBA,1.2739,103.863,
13,,Founders,2027,1.2912,103.869229,
14,,Tanjong Rhu,2024,1.29726,103.87345,
15,,Katong Park,2024,1.297825,103.885331,25.040042011450353
16,,Tanjong Katong,2024,1.2992,103.89769,
17,,Marine Parade,2024,1.3026301,103.9049619,33.780866511957335
18,,Marine Terrace,2024,1.305985,103.913332,33.090011787732884
19,,Siglap,2024,1.30977,103.928967,22.115384615384617
20,,Bayshore,2024,1.314712,103.943717,28.797629004945488
21,,Bedok South,2025,1.3240389,103.9300361,30.763125134680553
22,,Sungei Bedok,2025,1.32031,103.95709,
23,,Changi Airport Terminal 5,2040,1.3573722,103.9888361,
24,,Changi Airport,2040,1.3573722,103.9888361,
25,,Expo,2040,1.33528,103.96194,26.96334792226136
26,,Tanah Merah,2040,1.3273583,103.9463444,30.15055108818268
27,,Choa Chu Kang,2027,1.385092,103.744322,22.473538397349103
28,,Choa Chu Kang West,2027,1.385092,103.744322,22.473538397349103
29,,Tengah,2027,1.36633,103.73007,
30,,Hong Kah,2027,1.35795,103.72586,25.539270664926324
31,,Corporation,2027,1.352948,103.71393,28.748682138508656
32,,Jurong West,2027,1.34919,103.70831,27.40271394737776
33,,Bahar Junction,2027,1.3454222,103.7025417,26.03053478488552
34,,Boon Lay,2027,1.3388833,103.7062083,27.201888933340037
35,,Gek Poh,2027,1.348382,103.697963,24.72732030867786
36,,Tawas,2027,1.35056,103.69185,22.534478600097117
37,,Tengah Plantation,2028,1.35731,103.73342,30.957464492177788
38,,Tengah Park,2028,1.35235,103.73679,30.04238584972337
39,,Bukit Batok West,2028,1.3590306,103.7636806,
40,,Toh Guan,2028,1.33984,103.7425,28.244087903374673
41,,Jurong East,2028,1.333415,103.742119,28.402881628400348
42,,Jurong Town Hall,2028,1.326,103.746,26.981783216569035
43,,Pandan Reservoir,2028,1.32,103.745,27.0832422483227
44,,Enterprise,2029,1.332678,103.708504,28.60068503489162
45,,Tukang,2029,1.32533,103.70924,
46,,Jurong Hill,2029,1.31866,103.7102,
47,,Jurong Pier,2029,1.31315,103.71034,
48,,Nanyang Gateway,2029,1.35369,103.68661,24.168289031840434
49,,Nanyang Crescent,2029,1.34836,103.68085,19.756861135479898
50,,Peng Kang Hill,2029,1.34326,103.67849,23.550681460449987
51,,Haw Par Villa,TBA,1.28278,103.78167,
52,,Changi Airport Terminal 5,TBA,1.3573722,103.9888361,
53,,Aviation Park,2030,1.36989,104.00314,
54,,Loyang,2030,1.372,103.972,21.04906657416704
55,,Pasir Ris East,2030,1.366,103.961,22.234440080208028
56,,Pasir Ris,2030,1.3724111,103.9493694,23.46731152296171
57,,Tampines North,2030,1.36919,103.93786,22.91598823523244
58,,Defu,2030,1.362243,103.898874,27.54407773721445
59,,Hougang,2030,1.371292,103.892161,26.536123620008215
60,,Serangoon North,2030,1.37067,103.8736,25.61161663844734
61,,Tavistock,2030,1.37004,103.86328,29.765009939621525
62,,Ang Mo Kio,2030,1.37,103.84556,30.24349252673716
63,,Teck Ghee,2030,1.36564,103.84362,29.689447898403902
64,,Bright Hill,2030,1.36384,103.834748,29.564292303407075
65,,Turf City,2032,1.340775,103.794332,25.57878403497435
66,,King Albert Park,2032,1.33583,103.78361,25.57878403497435
67,,Maju,2032,1.328462,103.776993,25.512023520671267
68,,Clementi,2032,1.3153028,103.7652444,34.109633934800556
69,,West Coast,2032,1.31079,103.757828,33.169834206581086
70,,Jurong Lake District,2032,1.327245,103.73908,28.188381171881645
71,,Elias,2032,1.384,103.938,22.54462377060652
72,,Riviera,2032,1.3944389,103.9167722,26.25418929681172
73,,Punggol,2032,1.40528,103.9025,28.79045801615778
